ID,x,y,WTD(m)
2-3,285242.7483592934,9741379.64342428,0.05
2-4,285253.8562543901,9741391.824170182,0.02
2-5,285309.46723713016,9741400.748270756,-0.03
3-3,279029.15197735006,9737740.0099267,0.11
3-4,279040.24496934447,9737762.145629458,0.07
3-5,279062.4531882197,9737790.933213076,0.19
4-3,279719.37413220614,9737399.249898177,0.45
4-4,279730.47028480825,9737419.173524307,0.43
4-5,279752.65626645985,9737463.44469639,0.4
5-3,278274.0356596631,9736791.08750603,0.27
5-4,278251.7846184401,9736792.161330905,0.12
5-5,278207.3033189841,9736779.931077974,0.35
6-3,279086.97410539095,9736212.722425658,0.45
6-4,279086.9373870952,9736238.160117108,0.42
6-5,279075.73932637897,9736289.019445281,0.38
7-3,274594.77726424276,9734710.837534418,0.1
7-4,274605.8709345831,9734731.868280996,0.14
7-5,274628.0451887867,9734782.777875561,0.2
8-3,276197.26968309504,9734353.75059094,0.57
8-4,276186.1775921647,9734331.6141176,0.59
8-5,276186.2476473872,9734284.055925054,0.36
9-3,273751.394709261,9733298.301919559,0.34
9-4,273740.2964178218,9733280.588976197,0.38
9-5,273695.8371285184,9733253.977969969,0.33
10-3,270062.6120032375,9730235.63382355,0.09
10-4,270040.37949951517,9730224.539203286,0.22
10-5,270007.0358463436,9730204.579131309,0.19
11-3,271495.7730211627,9731502.028790133,0.38
11-4,271473.540325108,9731490.934634,0.43
11-5,271429.0614836605,9731477.594577689,0.25
12-3,269058.84616509924,9746804.939443043,0.2
14-3,277410.931458572,9749227.891415298,0.29
14-4,277377.5590806571,9749224.527278062,0.26
14-5,277333.0732780275,9749212.29978068,0.2
18-3,280046.8217318787,9749869.665383875,-0.28
18-4,280046.8322824376,9749861.923531003,-0.13
18-5,280058.030171428,9749808.851704596,-0.07
21-3,276187.74712133844,9748764.991613278,-0.03
21-4,276198.9113296016,9748737.35704705,-0.01
21-5,276210.1125144175,9748683.178425651,-0.22
